platform,tag,url,title,summary,language,difficulty,learners_count,price,certificate,authors,rating,reviews_count
Stepik,Machine Learning,https://stepik.org/course/137235/,Профессия Data Engineer с нуля до junior,"Курс для погружения в IT направление ""Большие данные"". Большие данные - это актуальное и перспективное направление, которое развивается за счет слаженной работы нескольких профессий. На курсе Вы сможете получить знания, которые позволят Вам стать разработчиком больших данных. По окончании курса Вам будет предложено решить финальное задание на выбор, которое пойдет в Ваше портфолио и отразит все знания, полученные на курсе. На протяжении всего курса Вам будет доступен чат в тг.",ru,easy,3026,4750 ₽,Certificate,NovaData.,4.911764705882353,34
Stepik,Machine Learning,https://stepik.org/course/130664/,"Полный Курс Python 3: от Новичка до Мастера (Питон, Пайтон)",Для начинающих и не только! Базовый + Продвинутый Курс Python. Начните с нуля и пройдите путь до специалиста по Python. 🔥Оперативная поддержка автора!🔥,ru,easy,3529,500 ₽,Certificate,Влад Бурмистров,4.8023255813953485,86
Stepik,Machine Learning,https://stepik.org/course/128718/,Цифровая история искусства: новая реальность культуры,"Значение новых технологий в сфере культуры сложно переоценить. Музеи, фонды, центры современного искусства и т.д. активно включаются в цифровое пространство. 
В рамках курса будут рассмотрены существующие художественные практики и проекты в сфере культуры и искусства, созданные с использованием цифровых технологий и инструментов, в том числе: креативные инициативы в Метавселенной, использование искусственного интеллекта, AR/VR/XR проекты, нейроинтерфейсы, блокчейн и NFT в пространстве современной культуры.",ru,easy,17706,-,Certificate,RUDN University,4.927152317880795,151
Stepik,Machine Learning,https://stepik.org/course/101687/,Big Data и Data Science: начни погружение с нуля,Курс познакомит участников с понятием больших данных и обучит базовым знаниям и практически применимым навыкам в области Data Science.,ru,,27449,-,Certificate,Русская Школа Программирования,4.393719806763285,414
Stepik,Machine Learning,https://stepik.org/course/100076/,Введение в искусственные нейронные сети,"В курсе даётся элементарное введение в теорию искусственных нейронных сетей. Будут изучены основные принципы тренировок нейросетей, а также технологии, обеспечивающие успех таких тренировок.",ru,easy,17625,-,Certificate,Ольга Хоменко;Артём Шевляков;ОмГТУ,4.961937716262976,289
Stepik,Machine Learning,https://stepik.org/course/99426/,Язык программирования C# для начинающих,"Хотите изучить программирование с нуля и освоить один из самых востребованных языков?
Курс ""Язык программирования C# для начинающих"" познакомит всех желающих с языком программирования С#, параллельно погружая в невероятное космическое путешествие ✨",ru,easy,30958,-,,Образовательный проект Процион,4.642172523961661,626
Stepik,Machine Learning,https://stepik.org/course/68260/,Алгоритмы Машинного обучения с нуля,"В данном курсе Вы реализуете с нуля все основные алгоритмы классического машинного обучения на чистом Python, Pandas и NumPy.",ru,normal,7123,2900 ₽,Certificate,Вячеслав Колосков,5.0,10
Stepik,Machine Learning,https://stepik.org/course/129/,Анализ данных в R,"В рамках трёхнедельного курса рассматриваются все основные этапы статистического анализа R, считывание данных, предобработка данных, применение основных статистических методов и визуализация результатов. Слушатели научатся основным элементам программирования на языке R, что позволит быстро и эффективно решать широчайший спектр задач, возникающих при обработке данных.",ru,easy,63645,-,Certificate,Bioinformatics Institute,4.844036697247707,654
Stepik,Machine Learning,https://stepik.org/course/258657/,Современный AI в IT-индустрии и науке,"Курс даст слушателям представление о том, что можно делать в AI в 2025 году, находясь на разных уровнях владения искусственным интеллектом: от базового уровня до уверенного продвинутого опыта применения AI. Также в рамках курса можно получить практику создания AI-агентов.",ru,easy,619,-,,Елена Кантонистова,0.0,0
Stepik,Machine Learning,https://stepik.org/course/247968/,Введение в Data Science с нуля,"🎓 Введение в Data Science с нуля — это стартовый курс для тех, кто хочет понять, как устроена работа с данными и машинное обучение. Без сложной математики, но с понятными примерами, визуализациями и практикой.

📌 Мы разберём:

что такое данные и как с ними работать,

основы машинного обучения (регрессия, классификация),

популярные алгоритмы и как они применяются в жизни,

и, конечно, немного про нейросети 

🔧 Идеально для полного новичка — шаг за шагом к пониманию профессии Data Scientist!",ru,easy,695,-,,Илья Кудряшов,4.823529411764706,17
Stepik,Machine Learning,https://stepik.org/course/239757/,Простая Линейная Регрессия Python. Математика машинного обучения,"Более 2 часов видео-лекции! 👍  Оперативная поддержка автора!🔥  Этот курс - лучший способ начать с нуля и стать специалистом по Машинному Обучению в Python и МАТЕМАТИКЕ! 🏆 Вы реализуете с нуля алгоритм классического машинного обучения метод наименьших квадратов (МНК) на чистом Python, NumPy, Pandas, Scikit-Learn, Matplotlib. Мы подробно разберём всю математику с нуля на примере Python кода, это будет самый ПРАКТИЧНЫЙ ОПЫТ 100%. Много практики + теория тоже есть! 🔥 Почитайте отзывы и записывайтесь!",ru,easy,138,890 ₽,Certificate,Ruslan 👽 Senatorov,5.0,13
Stepik,Machine Learning,https://stepik.org/course/238922/,Нейросети против рутины,"Цель курса - дать систему, по которой можно использовать любую нейросеть. Мы покажем основы взаимодействия с нейросетями на примере DeepSeek, GigaChat, ChatGPT, Grok, DALL·E 3. За 3 недели Вы научитесь использовать любые нейросети в своей работе. В фокусе взаимодействие с преподавателем - в курсе много заданий с обратной связью. Отдельное внимание уделяем техникам составления промтов. Каждый модуль заканчивается проектом. Мы изменим Ваше отношение к искусственному интеллекту.",ru,easy,269,1500 ₽,Certificate,Ольга Корчагина;Денис Корчагин,5.0,16
Stepik,Machine Learning,https://stepik.org/course/228024/,Собеседование по SQL: Теория и практика,"Этот курс предназначен для тех, кто хочет успешно пройти собеседование по SQL. Рассмотрим решение практических задач и ответы на наиболее часто встречающиеся теоретические вопросы.",ru,normal,2920,-,Certificate,Станислав Ревков,4.871794871794871,39
Stepik,Machine Learning,https://stepik.org/course/203660/,Специалист по противодействию кибератакам,"Представляем вашему вниманию новый практический курс, подготовленный CyberEd для начинающих специалистов по информационной безопасности «Специалист по противодействию кибератакам».
Этот курс о том, с чего начинается информационная безопасность, как начать выстраивать эффективную защиту и о том, как порой возможно довольно простыми действиями противостоять злоумышленникам в режиме реального времени.",ru,easy,11918,-,Certificate,Образовательный центр [CyberEd],4.660714285714286,56
Stepik,Machine Learning,https://stepik.org/course/179805/,Практический Deep Learning,"Курс посвящен теоретическим и практическим основам работы с нейронными сетями. В курсе вы узнаете как устроены полносвязные, сверточные и рекуррентные нейронные сети, как они обучаются. Конечно, про трансформеры и attention mechanism вы тоже узнаете! Также вы познакомитесь с фреймворком PyTorch и напишете на нем свои первые нейронные сети.",ru,normal,999,3900 ₽,Certificate,Елена Кантонистова,4.875,16
Stepik,Machine Learning,https://stepik.org/course/175405/,Искусственный интеллект для педагогов,"В курсе рассматриваются особенности искусственного интеллекта, основные понятия и задачи области машинного обучения, разбираются принципы обучения алгоритмов.
Кроме того, на курсе педагоги смогут найти методические материалы к проведению занятий по основам искусственного интеллекта со школьниками.",ru,easy,2012,-,,Елена Любимова;Татьяна Анисимова,4.6521739130434785,23
